Abbreviation	Full.name	Fasta	Xml	Label	Protein	MS.IsotopicPatternsPerMin	MS.Intensities.log10	MS.Precision.ppm	LC.PeakWidth.s	LC.Peak.rel.Symmetry	LC.ProfileSymmetry	MSMS.ProteinCoverage	MSMS.Intensities.log10	MSMS.MatchedFragmentsPerMSMS	MSMS.PSM.per.min	score	msmsEff	quan.duplicates.msms	quanRetRSD	quanRetSlope	quanRet50ratio	quan.pep.total	DependentPeptides
BSA	 bovine serum albumin	./Ecoli_K12-MG1655.fasta	ToDo	LF	P02769	1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	50	4.5 4 5	25 15 35	50	100	35	0.05	0.3	0.02	1.2	60	0
CE	 C. elegans	./uniprot.CAEEL.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
DM	 D. melanogaster	./uniprot.DROME.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
EC	 E. coli	./Ecoli_K12-MG1655.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
ECsilac	 E. coli	./Ecoli_K12-MG1655.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
ECstd	 E. coli standard	./Ecoli_K12-MG1655.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
default	default	NA	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
HS	 H. sapiens	./uniprot.HUMAN.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
MM	 M. musculus	./uniprot.MOUSE.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
RN	 R. norvegicus	./uniprot.RAT.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
SC	 S. cerevisiae	./uniprot.YEAST.2012-06.fasta	ToDo	LF		1700	8 6.5 9.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	4.5 4 5	25 15 35	200	100	35	0.05	0.3	0.02	1.2	5000	0
SCltq	 S. cerevisiae	./uniprot.YEAST.2012-06.fasta	ToDo	LF		2700	7 5.5 8.5	4 0 8	20 0 60	1.2 1 1.6	0.8	30	3 1.5 4.5	25 15 35	150	100	35	0.05	0.3	0.02	1.2	3500	0
